X,Y
640,1087
641,1087
641,1088
642,1088
642,1089
643,1089
643,1090
644,1090
644,1091
645,1091
645,1092
646,1092
646,1093
647,1093
647,1095
648,1095
648,1096
649,1096
649,1097
650,1097
650,1098
651,1098
651,1099
653,1099
653,1100
654,1100
654,1101
655,1101
655,1102
656,1102
656,1103
658,1103
658,1104
659,1104
659,1105
660,1105
660,1107
661,1107
661,1109
662,1109
662,1110
663,1110
663,1111
664,1111
664,1112
666,1112
666,1113
667,1113
667,1114
668,1114
668,1115
670,1115
670,1116
671,1116
671,1117
672,1117
672,1120
673,1120
673,1121
674,1121
674,1123
675,1123
675,1124
677,1124
677,1125
678,1125
678,1126
680,1126
680,1127
681,1127
681,1128
682,1128
682,1129
683,1129
683,1130
684,1130
684,1133
685,1133
685,1135
687,1135
687,1136
689,1136
689,1137
690,1137
690,1138
691,1138
691,1139
692,1139
692,1140
693,1140
693,1141
695,1141
695,1142
697,1142
697,1143
698,1143
698,1146
699,1146
699,1148
700,1148
700,1149
701,1149
701,1150
703,1150
703,1151
704,1151
704,1152
705,1152
705,1153
707,1153
707,1154
708,1154
708,1155
709,1155
709,1157
710,1157
710,1158
712,1158
712,1159
713,1159
713,1160
714,1160
714,1161
715,1161
715,1162
716,1162
716,1164
717,1164
717,1165
718,1165
718,1166
719,1166
719,1167
721,1167
721,1168
722,1168
722,1169
723,1169
723,1170
724,1170
724,1171
726,1171
726,1172
727,1172
727,1173
728,1173
728,1174
729,1174
729,1175
730,1175
730,1177
731,1177
731,1178
733,1178
733,1179
735,1179
735,1180
736,1180
736,1181
738,1181
738,1182
739,1182
739,1183
740,1183
740,1184
741,1184
741,1185
742,1185
742,1186
744,1186
744,1187
745,1187
745,1188
746,1188
746,1189
748,1189
748,1190
749,1190
749,1191
750,1191
750,1192
751,1192
751,1193
753,1193
753,1194
754,1194
754,1195
756,1195
756,1196
757,1196
757,1197
759,1197
759,1198
760,1198
760,1199
762,1199
762,1200
764,1200
764,1201
765,1201
765,1202
766,1202
766,1203
767,1203
767,1205
768,1205
768,1206
770,1206
770,1207
771,1207
771,1208
772,1208
772,1209
773,1209
773,1210
775,1210
775,1211
777,1211
777,1212
778,1212
778,1213
779,1213
779,1214
780,1214
780,1215
781,1215
781,1216
782,1216
782,1217
784,1217
784,1218
785,1218
785,1219
787,1219
787,1220
788,1220
788,1221
790,1221
790,1222
791,1222
791,1223
793,1223
793,1224
795,1224
795,1227
796,1227
796,1228
797,1228
797,1229
798,1229
798,1230
800,1230
800,1231
802,1231
802,1232
804,1232
804,1233
806,1233
806,1234
807,1234
807,1235
808,1235
808,1236
809,1236
809,1237
810,1237
810,1238
811,1238
811,1239
814,1239
814,1240
815,1240
815,1239
816,1239
816,1240
817,1240
817,1241
818,1241
818,1244
819,1244
819,1245
820,1245
820,1246
822,1246
822,1247
824,1247
824,1248
826,1248
826,1250
827,1250
827,1252
830,1252
830,1253
831,1253
831,1254
832,1254
832,1255
833,1255
833,1257
834,1257
834,1258
835,1258
835,1259
836,1259
836,1260
838,1260
838,1262
839,1262
839,1264
840,1264
840,1266
841,1266
841,1267
842,1267
842,1269
843,1269
843,1274
841,1274
841,1277
842,1277
842,1276
844,1276
844,1275
846,1275
846,1274
847,1274
847,1273
848,1273
848,1272
853,1272
853,1274
854,1274
854,1275
855,1275
855,1276
857,1276
857,1277
860,1277
860,1278
856,1278
856,1280
